Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Mad Mex,Zetland,18,$46.10,$125.33,$125.33,0.08%,$0.00,0.00%,10,$835.50,22/09/18
PappaRich,Westfield Pitt Street,18,$60.72,$85.31,$56.87,0.03%,$28.44,5.00%,25,$568.70,23/03/19
Pablo and Rusty's,Sydney,18,$32.57,$0.00,$269.90,0.16%,-$269.90,-19.35%,15,"$1,394.85",30/09/19
Fratelli Fresh,Bridge Street,18,$41.34,$143.46,$143.46,0.09%,$0.00,0.00%,10,$956.40,30/11/18
Roll'd,Chifley,17,$36.85,$82.09,$82.09,0.05%,$0.00,0.00%,15,$547.30,14/05/18
Ajisen Ramen,Eastland Shopping Centre,17,$72.90,$252.38,$168.25,0.10%,$84.13,5.00%,10,"$1,682.55",âˆ…
Sam Sam Chicken,Melbourne CBD,17,$121.73,$504.20,$504.20,0.31%,$0.00,0.00%,10,"$5,042.04",28/02/19
Meet Fresh,Chinatown,16,$22.29,$317.47,$317.47,0.19%,$0.00,0.00%,25,"$3,174.70",13/04/19
Cafe Miiso,Glebe,16,$18.24,$70.00,$70.00,0.04%,$0.00,0.00%,10,$466.70,âˆ…
Roll'd,Gateway Sydney,16,$21.58,$121.19,$121.19,0.07%,$0.00,0.00%,11.25,$807.90,âˆ…
Sharetea,Eastland Shopping Centre,16,$10.41,$83.27,$83.27,0.05%,$0.00,0.00%,10,$832.70,03/02/19
Ajisen Ramen,Knox O-Zone,15,$102.64,$276.15,$184.10,0.11%,$92.05,5.00%,10,"$1,841.00",31/12/18
Danjee Korean BBQ,Sydney,15,$95.36,$123.10,$919.70,0.56%,-$796.60,-11.40%,21.52,"$6,990.00",25/05/19
D' Elephant Thai,Chadstone Shopping Centre,15,$138.15,$402.50,$402.50,0.24%,$0.00,0.00%,25,"$4,024.96",31/01/19
Banh and Butter,Sydney,15,$18.73,$89.13,$89.13,0.05%,$0.00,0.00%,20,$594.20,15/09/18
Calia,Chadstone Shopping Centre,14,$120.12,$0.00,"$2,307.99",1.40%,"-$2,307.99",-17.90%,20,"$12,896.16",âˆ…
PappaRich,Melbourne CBD,14,$26.22,$155.28,$103.52,0.06%,$51.76,5.00%,15,"$1,035.22",31/08/18
Roll'd,Australia Square,14,$4.36,$49.84,$49.84,0.03%,$0.00,0.00%,15,$332.30,14/05/18
Lord of the Fries,Corner Elizabeth & Flinders Street,14,$21.19,$149.78,$119.82,0.07%,$29.96,5.00%,10,$599.10,âˆ…
Ajisen Ramen,Westfield Southland,14,$5.07,$85.11,$56.74,0.03%,$28.37,5.00%,10,$567.40,31/12/18
The Poke Man,Melbourne CBD,14,$74.32,$209.59,$209.59,0.13%,$0.00,0.00%,25,"$1,397.30",30/06/18
Nutrition Station,Doncaster,13,$4.01,$25.88,$19.41,0.01%,$6.47,5.00%,15,$129.40,âˆ…
Piccolo Me,Spencer Street,13,$12.60,$36.88,$36.88,0.02%,$0.00,0.00%,20,$245.85,31/10/18
RivaReno Gelato,Barangaroo,12,$37.04,$150.15,$150.15,0.09%,$0.00,0.00%,15,"$1,001.00",19/01/19
Two Sticks,Barangaroo,11,$79.70,$503.68,$377.76,0.23%,$125.92,5.00%,15,"$2,518.40",âˆ…
Piccolo Me,Castlereagh Street,11,$24.12,$82.06,$82.06,0.05%,$0.00,0.00%,25,$547.10,31/10/18
QQ Tea,Parramatta,11,$18.89,$40.61,$40.61,0.02%,$0.00,0.00%,10,$406.10,âˆ…
B'cos Brazil,Melbourne CBD,11,$42.20,$305.23,$303.23,0.18%,$2.00,0.16%,19.47,"$1,220.90",31/03/19
Mamak,Chatswood,11,$67.90,$0.00,$560.95,0.34%,-$560.95,-22.82%,24.25,"$2,458.00",30/06/19
Coco Cubano,Kensington UNSW,11,$8.35,$94.39,$94.39,0.06%,$0.00,0.00%,15,$629.30,27/06/18
Roll'd,O'Connell Street,11,$13.80,$144.32,$144.32,0.09%,$0.00,0.00%,15,$962.15,23/06/18
Ajisen Ramen,Hawthorn,11,$11.08,$78.24,$52.16,0.03%,$26.08,5.00%,10,$521.60,âˆ…
Chongqing Street Noodle,Chatswood,10,$47.27,$67.67,$67.67,0.04%,$0.00,0.00%,10,"$1,353.50",âˆ…
SumoSalad,Chadstone Shopping Centre,10,$32.33,$106.53,$106.53,0.06%,$0.00,0.00%,10,$710.20,âˆ…
NeNe Chicken,Highpoint,10,$75.38,$245.32,$367.99,0.22%,-$122.67,-5.00%,10,"$2,453.25",23/05/18
Ricefields,Steam Mill Lane,10,$69.10,$202.66,$202.66,0.12%,$0.00,0.00%,15,"$1,351.10",17/11/18
Kurtosh,Randwick,10,$14.00,$94.71,$94.71,0.06%,$0.00,0.00%,10,$885.15,13/10/18
PappaRich,Knox O-Zone,10,$35.42,$391.08,$260.72,0.16%,$130.36,5.00%,6.17,"$2,607.20",31/08/18
Dragon Hot Pot,Box Hill,10,$71.07,$0.00,$241.59,0.15%,-$241.59,-11.96%,15,"$2,019.62",31/12/19
Bawa Cafe,Hawthorn,9,$58.37,$179.22,$168.44,0.10%,$10.78,1.18%,12.25,$914.46,31/03/19
Black Label,Grosvenor Place,9,$4.83,$0.00,$95.58,0.06%,-$95.58,-15.00%,15,$637.20,12/10/19
Blackball,Burwood,9,$31.19,$171.63,$171.63,0.10%,$0.00,0.00%,15,"$1,716.30",âˆ…
Mr Crackles,Darlinghurst,9,$23.28,$92.68,$92.68,0.06%,$0.00,0.00%,15,$617.87,22/12/18
BBQ 1988,Glen Waverley,9,$103.11,$395.15,$711.00,0.43%,-$315.85,-8.49%,10,"$3,720.00",âˆ…
PappaRich,Northland Shopping Centre,9,$78.94,$205.10,$136.73,0.08%,$68.37,5.00%,40,"$1,367.33",28/02/19
Lord of the Fries,Central Station,9,$32.46,$20.18,$20.18,0.01%,$0.00,0.00%,16.67,$403.50,31/12/18
Fratelli Fresh,Westfield Sydney CBD,9,$100.73,$153.30,$152.35,0.09%,$0.95,0.09%,20,"$1,022.00",30/11/18
Thirsty Bird,Potts Point,8,$20.63,$47.45,$47.45,0.03%,$0.00,0.00%,10,$474.50,30/09/18
Eat Fuh,Marrickville,8,$140.88,$428.75,$391.50,0.24%,$37.25,2.17%,20,"$1,715.00",âˆ…
TNS Coffee Project,Chippendale,8,$49.36,$14.99,$25.91,0.02%,-$10.92,-4.45%,15,$245.50,âˆ…
La Lucha,Sydney,8,$41.61,$173.24,$173.24,0.11%,$0.00,0.00%,10,"$1,460.61",âˆ…
Roti Bar,Melbourne,8,$174.49,$353.00,$624.44,0.38%,-$271.44,-7.69%,10,"$3,529.98",âˆ…
Happy Lemon,Swanston Street,8,$13.64,$0.00,$636.65,0.39%,-$636.65,-25.73%,20,"$2,474.20",âˆ…
Mai Viet,Central Park,8,$23.29,$83.98,$83.98,0.05%,$0.00,0.00%,15,$839.80,30/09/18
Saigon Summer,Ashfield Mall,8,$8.11,$10.04,$10.04,0.01%,$0.00,0.00%,10,$125.60,âˆ…
Bababoi,Docklands,8,$77.50,$33.02,$33.02,0.02%,$0.00,0.00%,22,$330.20,âˆ…
New York Minute Burgers,Carlton,8,$65.42,$68.36,$68.36,0.04%,$0.00,0.00%,10,$455.70,âˆ…
The Caffeine Project,Chippendale,8,$143.02,$36.70,$71.20,0.04%,-$34.50,-4.92%,15,$701.00,âˆ…
White Mojo,Melbourne,7,$82.06,$0.00,"$1,915.90",1.16%,"-$1,915.90",-20.74%,28.38,"$9,239.50",âˆ…
Mamak,Melbourne CBD,7,$84.97,$0.00,"$1,790.50",1.09%,"-$1,790.50",-23.65%,20,"$7,571.92",30/06/19
D'Tandoor,Hawthorn,7,$26.76,$30.10,$22.57,0.01%,$7.53,5.00%,15,$150.50,âˆ…
Crafty Cuts,Sydney Central Plaza,7,$39.51,$222.01,$222.01,0.13%,$0.00,0.00%,15,"$1,480.10",30/09/18
Kurtosh,Surry Hills,7,$35.51,$66.50,$66.50,0.04%,$0.00,0.00%,15,$598.83,13/10/18
RivaReno Gelato,Darlinghurst,7,$27.31,$62.83,$62.83,0.04%,$0.00,0.00%,10,$418.86,19/01/19
NeNe Chicken,The Glen Shopping Centre,7,$75.89,$195.96,$293.94,0.18%,-$97.98,-5.00%,15,"$1,959.60",20/10/18
Meat District Co,Darling Harbour,7,$171.36,$208.72,$204.10,0.12%,$4.62,0.55%,10,$834.90,30/09/18
Tontaro Ramen,Sydney,7,$36.86,$469.81,$469.81,0.29%,$0.00,0.00%,15,"$3,132.10",âˆ…
SumoSalad,Broadway,7,$33.74,$86.99,$86.99,0.05%,$0.00,0.00%,10,$579.95,âˆ…
Ramen Zundo,Chatswood,7,$22.50,$0.00,$92.81,0.06%,-$92.81,-10.00%,10.9,$928.13,13/07/19
SumoSalad,Chippendale,7,$159.53,$179.14,$179.14,0.11%,$0.00,0.00%,20,"$1,194.25",âˆ…
Lord of the Fries,George Street,7,$23.33,$39.70,$39.70,0.02%,$0.00,0.00%,15,$793.95,31/12/18
Yu Kitchen,Chadstone Shopping Centre,6,$274.36,$0.00,$641.00,0.39%,-$641.00,-14.72%,14.44,"$4,355.98",âˆ…
Biggie Smalls,Collingwood,6,$341.38,$0.00,$184.20,0.11%,-$184.20,-20.00%,15,$921.00,30/06/19
PappaRich,Sydney Express,6,$14.70,$135.44,$90.29,0.05%,$45.15,5.00%,10,$902.90,11/08/18
Roll'd,Malvern Central,6,$21.34,$21.87,$21.87,0.01%,$0.00,0.00%,15,$145.80,31/05/18
Cafe Blush,Melbourne CBD,6,$221.68,$226.27,$150.84,0.09%,$75.43,5.00%,15,"$1,508.44",âˆ…
Chick In,Melbourne CBD,6,$27.33,$0.00,$720.67,0.44%,-$720.67,-24.73%,23.07,"$2,914.50",31/07/19
Happy Lemon,Elizabeth Street,6,$13.71,$0.00,$643.80,0.39%,-$643.80,-25.12%,22.47,"$2,563.13",âˆ…
Ichi-ban Boshi,Bondi Junction,6,$57.07,$2.68,$170.71,0.10%,-$168.03,-9.84%,15,"$1,707.10",31/05/19
Crafty Cuts,Bondi Junction,6,$24.21,$42.94,$42.94,0.03%,$0.00,0.00%,10,$286.26,30/09/18
Tsujiri,Melbourne CBD,6,$55.92,$65.25,$65.25,0.04%,$0.00,0.00%,20,$652.47,âˆ…
D' Elephant Thai,Eastland Shopping Centre,6,$46.21,$107.28,$107.28,0.07%,$0.00,0.00%,25,"$1,072.80",31/01/19
Bosozoku,South Yarra,6,$88.97,$196.13,$156.90,0.10%,$39.23,5.00%,10,$784.50,âˆ…
The Bulgogi,Sydney,6,$63.20,$0.00,$426.10,0.26%,-$426.10,-7.71%,10,"$5,529.45",24/07/19
Three Williams,Redfern,5,$145.46,$173.98,$173.98,0.11%,$0.00,0.00%,10,"$1,159.85",22/12/18
Xeom,Collingwood,5,$54.94,$318.88,$318.88,0.19%,$0.00,0.00%,10,"$1,275.50",âˆ…
Merchant Society,Docklands,5,$56.84,$129.17,$234.17,0.14%,-$105.00,-8.13%,10,"$1,291.66",âˆ…
85 Degrees Cafe,Meriton Tower,5,$8.64,$27.98,$27.98,0.02%,$0.00,0.00%,15,$559.70,âˆ…
Friends of Mine,Richmond,5,$162.19,$218.31,$215.58,0.13%,$2.73,0.25%,20,"$1,091.55",31/03/19
New York Minute Burgers,Brunswick,5,$76.85,$16.59,$16.59,0.01%,$0.00,0.00%,25,$110.60,âˆ…
South Dowling Sandwiches,Darlinghurst,5,$28.00,$45.67,$45.67,0.03%,$0.00,0.00%,10,$851.50,30/09/18
King Tea,Sydney,5,$13.12,$0.00,$347.58,0.21%,-$347.58,-28.07%,28.2,"$1,238.10",31/07/19
Ten BBQ and Hotpot,Southbank,5,$359.94,$113.59,$113.59,0.07%,$0.00,0.00%,10,"$1,091.60",âˆ…
Azusa Sen,Caulfield East,5,$61.25,$38.40,$38.40,0.02%,$0.00,0.00%,20,$383.95,âˆ…
Rice Paper Sister,Melbourne CBD,5,$166.55,$0.00,$188.20,0.11%,-$188.20,-9.28%,7.24,"$2,028.00",24/08/19
Cuppa Turca,Northcote,5,$35.22,$28.98,$21.73,0.01%,$7.25,5.00%,5,$144.90,âˆ…
Sam Sam Chicken,QV Centre,5,$39.41,$127.17,$127.17,0.08%,$0.00,0.00%,10,"$1,271.70",28/02/19
Chat Thai,Haymarket,5,$80.11,$366.41,"$1,199.39",0.73%,-$832.98,-16.40%,14.35,"$5,079.73",âˆ…
D' Elephant Thai,The Glen Shopping Centre,5,$99.26,$150.53,$150.53,0.09%,$0.00,0.00%,15,"$1,505.35",31/01/19
Roll'd,Jam Factory,5,$2.00,$10.90,$10.90,0.01%,$0.00,0.00%,15,$72.65,31/05/18
Two Sticks,Haymarket - The Quay,5,$43.84,$348.45,$261.33,0.16%,$87.12,5.00%,10,"$1,742.23",âˆ…
Basement Cafe,Melbourne CBD,5,$0.00,$11.51,$7.67,0.00%,$3.84,5.01%,15,$76.70,âˆ…
Cafe Kentaro,Surry Hills,5,$57.28,$0.00,$69.80,0.04%,-$69.80,-15.00%,10,$465.30,18/10/19
Ya Souv,Westfield Doncaster,5,$83.22,$18.48,$18.48,0.01%,$0.00,0.00%,10,$73.90,âˆ…
Royal Stacks,Chadstone Shopping Centre,4,$12.57,$103.59,$103.59,0.06%,$0.00,0.00%,10,$690.58,31/10/18
Phomo,Barangaroo,4,$35.83,$261.86,$247.72,0.15%,$14.14,0.93%,20,"$1,525.78",âˆ…
The Sandwich Shop,Haymarket,4,$42.19,$50.91,$50.91,0.03%,$0.00,0.00%,15,$797.60,28/02/19
Pho Mumum,Chippendale,4,$67.10,$422.27,$422.27,0.26%,$0.00,0.00%,10,"$1,689.10",âˆ…
Thai Style,Richmond,4,$8.88,$84.22,$67.38,0.04%,$16.84,5.00%,15,$336.90,âˆ…
Lavezzi Gelato,Carlton,4,$108.13,$57.59,$38.39,0.02%,$19.20,5.00%,15,$383.90,20/10/18
Mamak,Haymarket,4,$49.75,$0.00,$924.30,0.56%,-$924.30,-20.21%,16.11,"$4,573.00",30/06/19
A Little Joy,Melbourne CBD,4,$221.84,$74.18,$74.18,0.05%,$0.00,0.00%,11.84,$741.80,âˆ…
Kujin,Elizabeth Bay,4,$214.76,$107.07,$107.07,0.07%,$0.00,0.00%,15,$713.80,âˆ…
Spice Club,South Yarra,4,$202.95,$107.70,$107.70,0.07%,$0.00,0.00%,10,$430.81,âˆ…
Mrs Chan's Kitchen,Sydney,4,$36.17,$62.95,$112.56,0.07%,-$49.61,-4.41%,20,"$1,125.60",18/05/19
Tonda Pizza,Chippendale,4,$3.67,$44.42,$44.42,0.03%,$0.00,0.00%,25,$413.00,âˆ…
Ze Pickle,Surry Hills,4,$104.85,$48.40,$48.40,0.03%,$0.00,0.00%,5.45,$484.00,04/08/18
Song Tea,Swanston Street,4,$17.90,$86.19,$86.19,0.05%,$0.00,0.00%,25,$861.90,06/04/19
Maya da Dhaba,Surry Hills,4,$98.02,$108.98,$82.26,0.05%,$26.72,6.13%,15,$435.92,âˆ…
Ume Burger,Barangaroo,4,$33.63,$33.98,$33.98,0.02%,$0.00,0.00%,20,$226.50,10/11/18
Tap831,Docklands,4,$84.67,$10.50,$7.88,0.00%,$2.62,4.99%,20,$52.50,15/07/18
Roll'd,Rowe Lane,4,$6.15,$51.02,$51.02,0.03%,$0.00,0.00%,28.33,$340.10,âˆ…
Swanky Noodle,Parramatta,4,$46.00,$139.43,$139.43,0.08%,$0.00,0.00%,15,$929.50,âˆ…
Lanzhou Beef Noodle Bar,Caulfield East,4,$29.68,$0.00,$316.93,0.19%,-$316.93,-15.17%,10,"$2,089.50",31/12/19
Crafty Cuts,MLC Centre,4,$32.33,$126.22,$126.22,0.08%,$0.00,0.00%,10,$841.50,30/09/18
Tsuta Sushi,Melbourne CBD,4,$64.06,$64.28,$48.21,0.03%,$16.07,5.00%,5.41,$321.40,âˆ…
Roll'd,Highpoint,4,$4.45,$26.14,$26.14,0.02%,$0.00,0.00%,25,$174.26,âˆ…
Alice's Makan,Sydney,4,$88.95,$138.40,$138.40,0.08%,$0.00,0.00%,11.54,"$1,384.00",âˆ…
Seoul Soul,Emporium,4,$268.96,$126.50,$126.50,0.08%,$0.00,0.00%,20,"$1,265.00",16/02/19
New York Minute Burgers,Hawthorn,4,$26.50,$13.52,$13.52,0.01%,$0.00,0.00%,10,$90.10,âˆ…
Bullrun Cafe,Melbourne,4,$32.65,$61.04,$45.78,0.03%,$15.26,5.00%,10,$305.20,âˆ…
Zen Charcoal BBQ,South yarra,4,$106.97,$54.00,$54.00,0.03%,$0.00,0.00%,10,$216.00,âˆ…
Seoul Soul,Abbotsford,3,$148.40,$62.86,$62.86,0.04%,$0.00,0.00%,15,$628.60,16/02/19
SumoSalad,Chatswood,3,$19.43,$31.71,$31.71,0.02%,$0.00,0.00%,15,$211.40,âˆ…
Blackbird Cafe,Sydney,3,$34.07,$58.63,$58.63,0.04%,$0.00,0.00%,15,$234.50,30/09/18
Mama Rosy's,Newtown,3,$70.33,$22.95,$22.95,0.01%,$0.00,0.00%,20,$153.00,âˆ…
Hobba,Prahran,3,$201.60,$176.81,$235.74,0.14%,-$58.93,-5.00%,16.54,"$1,178.70",âˆ…
Two Sticks,Haymarket - George Street,3,$61.30,$286.86,$215.15,0.13%,$71.71,5.00%,15,"$1,434.30",âˆ…
Great Aunty Three,Enmore,3,$47.47,$23.76,$21.60,0.01%,$2.16,2.00%,25,$108.00,âˆ…
Bibimbap,Melbourne CBD,3,$1.50,$35.85,$35.85,0.02%,$0.00,0.00%,15,$239.00,âˆ…
Salt Meats Cheese,Circular Quay,3,$86.99,$62.10,$62.05,0.04%,$0.05,0.01%,15,$414.00,30/09/18
Asado To Go,Melbourne CBD,3,$25.84,$0.00,$86.78,0.05%,-$86.78,-15.00%,10,$578.50,31/08/19
Kung Fu Burger,South Yarra,3,$84.05,$66.18,$44.12,0.03%,$22.06,5.00%,10.56,$441.17,17/06/18
Coco Cubano,Central Park,3,$10.33,$49.59,$49.59,0.03%,$0.00,0.00%,15,$330.60,28/02/19
Love Pho,Richmond,3,$43.00,$185.60,$185.60,0.11%,$0.00,0.00%,10,$928.00,âˆ…
Maha Restaurant,Melbourne CBD,3,$216.42,$0.00,$150.00,0.09%,-$150.00,-10.46%,15,"$1,433.55",30/06/19
Sandoitchi,Darlinghurst,3,$26.50,$7.58,$7.58,0.00%,$0.00,0.00%,15,$151.50,30/11/18
Pabu Grill & Sake,Collingwood,3,$244.43,$66.88,$66.38,0.04%,$0.50,0.19%,20,$267.50,âˆ…
Romanos Coffee,Wantirna South,3,$33.80,$8.91,$5.94,0.00%,$2.97,5.00%,15,$59.40,âˆ…
Criniti's,Southbank,3,$298.79,$90.79,$88.10,0.05%,$2.69,0.44%,15,$605.25,âˆ…
Caffe Cherry Beans,Chatswood,3,$6.97,$0.00,$19.31,0.01%,-$19.31,-15.00%,15,$128.75,15/06/19
King Tea,Chatswood,3,$36.90,$0.00,$177.19,0.11%,-$177.19,-22.14%,11.56,$800.20,31/07/19
Hanoi Old Quarter,Hawthorn,3,$192.43,$172.30,$120.25,0.07%,$52.05,6.04%,15,$861.50,âˆ…
London K Burgers,Kensington,3,$28.00,$12.21,$8.14,0.00%,$4.07,5.00%,10,$81.40,âˆ…
Mason Dixon,Bourke Pl,3,$15.67,$95.07,$76.06,0.05%,$19.01,5.00%,25,$380.28,âˆ…
HongKong Kitchen,Sydney,3,$26.07,$123.19,$123.19,0.07%,$0.00,0.00%,15,"$1,136.20",âˆ…
4 Ounces Burger,Leichhardt,3,$32.00,$13.40,$13.40,0.01%,$0.00,0.00%,10,$67.00,15/09/18
The Bulgogi,Chatswood,3,$74.17,$0.00,$118.91,0.07%,-$118.91,-10.00%,10,"$1,189.10",24/07/19
Din Tai Fung,Westfield CBD,3,$31.80,$0.00,$24.00,0.01%,-$24.00,-15.00%,15,$160.00,30/06/19
I Love Pho,Crows Nest,3,$108.73,$51.64,$38.73,0.02%,$12.91,5.00%,5,$258.20,âˆ…
HongKong Kitchen,Ultimo,3,$49.43,$137.88,$137.88,0.08%,$0.00,0.00%,15,"$1,204.60",âˆ…
Gotcha,World Square Shopping Centre,3,$8.38,$34.22,$98.67,0.06%,-$64.45,-14.13%,15,$456.20,âˆ…
Yuzu,Melbourne CBD,3,$411.23,$454.80,$415.48,0.25%,$39.32,2.16%,15.87,"$1,819.20",âˆ…
Makoto Sushi Bar,Sydney,3,$96.70,$121.20,$121.20,0.07%,$0.00,0.00%,10,"$1,212.00",âˆ…
The Little Snail,Darling Harbour,3,$300.37,$126.63,$75.00,0.05%,$51.63,10.19%,27.32,$506.50,âˆ…
Shanghai Dragon Dumpling House,Prahran,3,$110.83,$295.05,$230.66,0.14%,$64.39,5.46%,15,"$1,180.20",âˆ…
Tall Timber Cafe,Prahran,2,$84.61,$206.71,$206.71,0.13%,$0.00,0.00%,10,"$1,043.46",31/03/19
The Bun Gallery,Haymarket,2,$86.85,$45.82,$45.82,0.03%,$0.00,0.00%,15,$756.50,âˆ…
Piccolo Mondo,Carlton,2,$63.25,$130.35,$150.00,0.09%,-$19.65,-3.77%,15,$521.40,âˆ…
Izakaya Hachibeh,Melbourne CBD,2,$39.37,$65.70,$65.70,0.04%,$0.00,0.00%,11.39,$657.00,âˆ…
Arthurs Pizza,Paddington,2,$35.25,$36.60,$36.60,0.02%,$0.00,0.00%,20,$244.00,âˆ…
Saigon Summer,Surry Hills,2,$2.00,$30.68,$30.68,0.02%,$0.00,0.00%,25.38,$317.00,âˆ…
Fratelli Famous,World Square,2,$6.50,$2.25,$2.25,0.00%,$0.00,0.00%,20,$15.00,31/10/18
La Porchetta,South Yarra,2,$70.05,$56.82,$56.82,0.03%,$0.00,0.00%,10,$378.77,âˆ…
South Dowling Sandwiches,Alexandria,2,$21.00,$44.80,$44.80,0.03%,$0.00,0.00%,6.02,$839.00,30/09/18
Duke Pizza,Melbourne CBD,2,$7.00,$57.98,$57.98,0.04%,$0.00,0.00%,20,$386.50,âˆ…
Shanghai Village,Melbourne CBD,2,$88.27,$107.23,$108.60,0.07%,-$1.37,-0.23%,25,$608.40,31/03/19
Gramercy Social,Prahran,2,$209.81,$165.65,$143.13,0.09%,$22.52,3.67%,25,$613.50,âˆ…
Xing Xing Sichuan Dish,Chinatown,2,$54.30,$15.14,$15.14,0.01%,$0.00,0.00%,15,$151.40,13/04/19
Richmond Oysters,Richmond,2,$300.76,$116.00,$89.50,0.05%,$26.50,5.71%,10,$464.00,âˆ…
Famous BBQ Hotpot,Melbourne CBD,2,$124.00,$182.06,$170.34,0.10%,$11.72,0.73%,10,"$1,605.10",âˆ…
Fratelli Fresh,Walsh Bay,2,$47.02,$19.80,$19.80,0.01%,$0.00,0.00%,10,$132.00,30/11/18
Billy's Courtyard,Glen Iris,2,$198.95,$10.53,$10.53,0.01%,$0.00,0.00%,20,$105.30,âˆ…
Sayers Sister [Kounta Demo],CES 2019 Demo Las Vegas,2,$75.80,$7.38,$5.90,0.00%,$1.48,5.02%,15,$29.50,âˆ…
Ajisen Ramen,Melbourne Central,2,$53.17,$61.89,$41.26,0.03%,$20.63,5.00%,10,$412.60,âˆ…
Banh You,Sydney,2,$25.55,$35.59,$23.73,0.01%,$11.86,5.00%,10.43,$237.25,âˆ…
Thanon KhaoSan,Haymarket,2,$40.50,$269.90,$245.36,0.15%,$24.54,2.00%,10,"$1,226.80",âˆ…
SumoSalad,Australia Square,2,$48.05,$90.74,$90.74,0.06%,$0.00,0.00%,15,$604.95,âˆ…
Richmond Oysters,Oakleigh,2,$136.50,$410.25,$190.50,0.12%,$219.75,13.39%,15,"$1,641.00",âˆ…
Matsuzaka,Caulfield South,2,$149.30,$6.00,$6.00,0.00%,$0.00,0.00%,15,$60.00,âˆ…
Laksa King,Glen Waverley,2,$16.90,$0.00,$288.77,0.18%,-$288.77,-10.00%,15,"$2,887.70",âˆ…
Lanes Edge Cafe Bar,Melbourne CBD,2,$162.18,$3.14,$3.14,0.00%,$0.00,0.00%,25,$20.95,âˆ…
Mulan Temple,Newtown,2,$12.70,$44.35,$35.48,0.02%,$8.87,5.00%,15,$177.40,âˆ…
Paco's Tacos,Ringwood,2,$63.83,$0.00,$67.87,0.04%,-$67.87,-10.00%,20,$678.70,30/09/19
Bean Code,Chatswood,2,$20.10,$49.56,$49.56,0.03%,$0.00,0.00%,20,$330.40,âˆ…
SumoSalad,Parramatta,2,$202.40,$9.65,$9.65,0.01%,$0.00,0.00%,10,$64.35,âˆ…
Liu's Kitchen,Chatswood,2,$46.35,$0.00,$31.41,0.02%,-$31.41,-15.00%,10,$209.40,15/06/19
Condor Japanese Restaurant,Sydney,2,$129.20,$160.72,$107.15,0.07%,$53.57,5.00%,10,"$1,071.50",âˆ…
